Peromyscus_maniculatus024254-RA,46
Peromyscus_maniculatus007468-RA,65
Peromyscus_maniculatus014630-RA,64
Peromyscus_maniculatus012305-RA,35
Peromyscus_maniculatus009153-RA,69
Peromyscus_maniculatus011032-RA,1732
Peromyscus_maniculatus002876-RA,62
Peromyscus_maniculatus004572-RA,123
Peromyscus_maniculatus011254-RA,61
Peromyscus_maniculatus018962-RA,155
Peromyscus_maniculatus020530-RA,215
Peromyscus_maniculatus032287-RA,91
Peromyscus_maniculatus016515-RA,46
Peromyscus_maniculatus008491-RA,246
Peromyscus_maniculatus023096-RA,503
Peromyscus_maniculatus026893-RA,98
Peromyscus_maniculatus006588-RA,353
Peromyscus_maniculatus020407-RA,110
Peromyscus_maniculatus023287-RA,95
Peromyscus_maniculatus024485-RA,349
Peromyscus_maniculatus020864-RA,51
Peromyscus_maniculatus022726-RA,56
Peromyscus_maniculatus017607-RA,45
Peromyscus_maniculatus024543-RA,68
Peromyscus_maniculatus028034-RA,178
Peromyscus_maniculatus008202-RA,78
Peromyscus_maniculatus027374-RA,480
Peromyscus_maniculatus009134-RA,89
Peromyscus_maniculatus028055-RA,791
Peromyscus_maniculatus030622-RA,598
Peromyscus_maniculatus018137-RA,99
Peromyscus_maniculatus031830-RA,560
Peromyscus_maniculatus014296-RA,41
Peromyscus_maniculatus022607-RA,152
Peromyscus_maniculatus031673-RA,111
Peromyscus_maniculatus021988-RA,64
Peromyscus_maniculatus013675-RA,287
Peromyscus_maniculatus016350-RA,116
Peromyscus_maniculatus007663-RA,92
Peromyscus_maniculatus014915-RA,707
Peromyscus_maniculatus011668-RA,27
Peromyscus_maniculatus002018-RA,210
Peromyscus_maniculatus006921-RA,1091
Peromyscus_maniculatus031239-RA,66
Peromyscus_maniculatus001217-RA,208
Peromyscus_maniculatus015013-RA,589
Peromyscus_maniculatus032591-RA,228
Peromyscus_maniculatus027981-RA,982
Peromyscus_maniculatus000841-RA,59
Peromyscus_maniculatus031869-RA,217
Peromyscus_maniculatus027920-RA,37
Peromyscus_maniculatus009372-RA,975
Peromyscus_maniculatus012858-RA,329
